quality,alcohol,sulphates,volatile acidity,total sulfur dioxide,citric acid,density,free sulfur dioxide
5,9.5,0.6,0.61,10.0,0.04,0.99525,5.0
6,9.233,0.72,0.84,65.0,0.21,0.99842,16.0
5,10.5,0.48,0.58,124.0,0.12,0.9956,34.0
6,9.1,1.06,0.48,32.0,0.68,0.99656,14.0
6,11.9,0.74,0.6,14.0,0.49,1.001,5.0
8,13.1,0.72,0.54,17.0,0.34,0.99235,8.0
5,9.5,0.59,0.61,42.0,0.14,0.9969,10.0
5,9.1,0.57,0.5,73.0,0.47,0.997,21.0
6,10.5,0.57,0.41,43.0,0.14,0.9964,21.0
5,9.7,0.57,0.45,75.0,0.49,0.9987,21.0
7,12.0,0.85,0.44,76.0,0.73,0.999,38.0
6,11.4,0.85,0.31,60.0,0.41,0.99492,34.0
6,10.8,0.49,0.725,17.0,0.09,0.99655,9.0
6,12.0,0.63,0.49,25.0,0.27,0.99388,14.0
5,11.4,0.58,0.54,13.0,0.04,0.9942,5.0
6,10.1,0.57,1.02,88.0,0.43,0.9984,26.0
5,9.5,0.63,0.28,19.0,0.54,0.9988,5.0
5,10.5,0.54,0.51,9.0,0.09,0.99584,4.0
5,9.8,0.46,0.53,19.0,0.01,0.995,3.0
6,12.0,0.78,0.31,26.0,0.29,0.99536,14.0
6,10.5,0.67,0.36,12.0,0.34,0.99667,5.0
6,10.9,0.6,0.28,9.0,0.46,0.99901,3.0
5,9.5,0.48,0.5,102.0,0.17,0.996,21.0
7,12.1,0.77,0.34,37.0,0.33,0.9952,21.0
6,10.2,0.49,0.45,29.0,0.23,0.9962,16.0
5,9.8,0.57,0.735,54.0,0.05,0.9966,13.0
7,12.3,0.55,0.28,12.0,0.45,0.99354,7.0
6,10.4,0.76,0.38,20.0,0.51,0.9996,7.0
5,9.4,0.55,0.765,42.0,0.22,0.9963,9.0
6,10.3,0.6,0.57,36.0,0.05,0.99564,16.0
6,12.9,0.53,0.69,12.0,0.0,0.99162,7.0
6,10.0,0.63,0.56,35.0,0.03,0.9968,18.0
6,12.0,0.93,0.49,15.0,0.67,0.9986,6.0
5,10.5,0.61,0.43,34.0,0.3,0.99788,7.0
6,10.5,0.53,0.48,52.0,0.41,0.9982,26.0
5,9.8,0.66,0.655,113.0,0.12,0.9966,15.0
6,10.2,0.63,0.59,62.0,0.31,0.9994,26.0
7,10.6,0.65,0.37,17.0,0.34,0.99683,5.0
6,14.0,0.75,0.38,60.0,0.01,0.99084,26.0
5,9.5,1.62,0.31,127.0,0.3,0.9965,36.0
7,11.2,0.83,0.31,28.0,0.35,0.99672,9.0
5,10.0,0.47,0.67,17.0,0.39,0.9976,6.0
6,14.0,0.79,0.34,63.0,0.0,0.9916,27.0
5,9.7,0.47,0.69,24.0,0.11,0.99578,8.0
4,9.6,0.46,0.73,24.0,0.0,0.99798,12.0
5,9.3,0.5,0.68,22.0,0.0,0.9969,12.0
6,11.4,0.49,0.67,48.0,0.08,0.9949,19.0
6,10.7,0.78,0.57,32.0,0.5,1.0006,6.0
5,9.4,0.53,0.885,145.0,0.27,0.9978,31.0
6,11.3,0.67,0.67,20.0,0.15,0.9954,13.0
7,12.1,0.64,0.3,24.0,0.49,0.99498,11.0
5,9.8,0.58,0.82,48.0,0.02,0.9952,36.0
6,10.2,0.58,0.49,30.0,0.1,0.9959,12.0
7,10.5,0.77,0.4,47.0,0.32,0.9991,10.0
5,10.1,0.62,0.32,70.0,0.23,0.99588,35.0
7,11.4,0.68,0.29,43.0,0.75,0.9986,23.0
6,10.7,0.58,0.62,37.0,0.33,0.9972,16.0
4,11.0,0.67,0.53,31.0,0.09,0.9968,14.0
6,9.3,0.82,0.26,19.0,0.44,0.9986,6.0
5,9.8,0.66,0.64,31.0,0.21,0.99689,14.0
5,9.6,0.5,0.43,32.0,0.39,0.9986,8.0
6,11.5,0.59,0.54,16.0,0.09,0.99479,10.0
5,10.5,0.66,0.41,42.0,0.64,0.9986,9.0
6,11.2,0.8,0.37,15.0,0.32,0.99576,4.0
6,11.6,0.66,0.39,21.0,0.42,0.99526,9.0
6,10.2,0.61,0.61,50.0,0.3,0.9972,11.0
6,12.8,0.66,0.27,33.0,0.24,0.9956,15.0
5,9.3,0.52,0.52,38.0,0.11,0.9955,13.0
5,9.5,0.59,0.775,86.0,0.42,0.9959,8.0
5,11.0,0.53,0.42,20.0,0.48,0.99852,8.0
6,8.4,0.79,0.31,15.0,0.74,1.0008,6.0
5,9.3,0.73,0.665,19.0,0.0,0.9974,8.0
6,10.5,1.18,0.54,105.0,0.3,0.99725,9.0
6,12.5,0.61,0.645,28.0,0.0,0.99444,15.0
5,9.7,0.55,0.84,33.0,0.0,0.9954,24.0
5,9.5,0.55,0.65,40.0,0.1,0.99803,17.0
5,10.6,0.68,0.28,22.0,0.6,0.99828,10.0
5,9.7,0.7,0.27,16.0,0.41,0.998,6.0
5,10.1,0.44,0.32,32.0,0.25,0.99464,5.0
6,9.5,0.78,0.55,28.0,0.24,0.9983,10.0
5,10.2,0.59,0.58,55.0,0.3,0.9968,15.0
6,10.4,0.62,0.65,15.0,0.02,0.99498,8.0
5,10.3,1.2,0.66,23.0,0.22,0.9968,9.0
6,10.0,0.58,0.71,31.0,0.0,0.99635,22.0
6,9.9,0.51,0.45,28.0,0.15,0.99609,10.0
6,11.4,0.71,0.54,52.0,0.42,0.997,25.0
6,11.9,0.44,0.96,16.0,0.0,0.9936,5.0
5,10.3,0.54,0.43,45.0,0.29,0.99603,27.0
6,11.5,0.68,0.76,16.0,0.29,0.9965,12.0
6,9.5,0.67,0.65,25.0,0.02,0.9972,8.0
5,10.9,0.48,1.33,12.0,0.0,0.9964,3.0
5,10.8,0.62,0.62,52.0,0.35,0.997,28.0
6,9.1,1.33,0.76,64.0,0.68,0.99652,18.0
5,9.5,0.57,0.53,139.0,0.24,0.99788,28.0
5,9.1,0.49,0.6,15.0,0.29,0.9988,5.0
5,9.4,0.62,0.56,104.0,0.23,0.9976,14.0
6,9.5,0.6,0.43,56.0,0.22,0.99633,21.0
7,9.8,1.36,0.28,29.0,0.54,0.9997,12.0
6,11.7,0.56,0.53,17.0,0.49,1.0002,10.0
6,10.0,0.56,0.53,31.0,0.04,0.9964,17.0
7,10.55,0.68,0.56,24.0,0.17,0.99514,15.0
6,12.8,0.62,0.47,44.0,0.02,0.9921,18.0
5,9.6,0.58,0.63,65.0,0.21,0.9988,29.0
6,11.4,0.58,0.44,38.0,0.0,0.99438,32.0
5,9.9,0.52,0.615,59.0,0.0,0.9943,16.0
5,9.5,0.64,0.43,116.0,0.49,0.9976,23.0
6,10.2,0.75,0.39,26.0,0.4,0.9984,10.0
7,11.2,0.74,0.33,22.0,0.63,0.9998,5.0
6,10.9,0.68,0.765,22.0,0.0,0.99619,9.0
7,11.0,0.9,0.24,24.0,0.47,0.9978,6.0
7,10.6,0.86,0.52,49.0,0.09,0.9976,20.0
5,9.5,0.51,0.39,101.0,0.54,1.0001,21.0
5,9.5,0.49,0.39,18.0,0.63,1.0004,6.0
5,10.4,0.67,0.21,23.0,0.52,0.99648,9.0
6,9.1,0.62,0.64,77.0,0.27,0.99747,5.0
5,9.6,0.54,0.66,59.0,0.15,0.99976,9.0
5,10.0,0.72,0.705,28.0,0.12,0.9994,12.0
8,13.4,0.69,0.62,19.0,0.67,0.9988,6.0
