quality,alcohol,sulphates,volatile acidity,total sulfur dioxide,citric acid,density
5,9.5,0.6,0.61,10.0,0.04,0.99525
6,9.233,0.72,0.84,65.0,0.21,0.99842
5,10.5,0.48,0.58,124.0,0.12,0.9956
6,9.1,1.06,0.48,32.0,0.68,0.99656
6,11.9,0.74,0.6,14.0,0.49,1.001
8,13.1,0.72,0.54,17.0,0.34,0.99235
5,9.5,0.59,0.61,42.0,0.14,0.9969
5,9.1,0.57,0.5,73.0,0.47,0.997
6,10.5,0.57,0.41,43.0,0.14,0.9964
5,9.7,0.57,0.45,75.0,0.49,0.9987
7,12.0,0.85,0.44,76.0,0.73,0.999
6,11.4,0.85,0.31,60.0,0.41,0.99492
6,10.8,0.49,0.725,17.0,0.09,0.99655
6,12.0,0.63,0.49,25.0,0.27,0.99388
5,11.4,0.58,0.54,13.0,0.04,0.9942
6,10.1,0.57,1.02,88.0,0.43,0.9984
5,9.5,0.63,0.28,19.0,0.54,0.9988
5,10.5,0.54,0.51,9.0,0.09,0.99584
5,9.8,0.46,0.53,19.0,0.01,0.995
6,12.0,0.78,0.31,26.0,0.29,0.99536
6,10.5,0.67,0.36,12.0,0.34,0.99667
6,10.9,0.6,0.28,9.0,0.46,0.99901
5,9.5,0.48,0.5,102.0,0.17,0.996
7,12.1,0.77,0.34,37.0,0.33,0.9952
6,10.2,0.49,0.45,29.0,0.23,0.9962
5,9.8,0.57,0.735,54.0,0.05,0.9966
7,12.3,0.55,0.28,12.0,0.45,0.99354
6,10.4,0.76,0.38,20.0,0.51,0.9996
5,9.4,0.55,0.765,42.0,0.22,0.9963
6,10.3,0.6,0.57,36.0,0.05,0.99564
6,12.9,0.53,0.69,12.0,0.0,0.99162
6,10.0,0.63,0.56,35.0,0.03,0.9968
6,12.0,0.93,0.49,15.0,0.67,0.9986
5,10.5,0.61,0.43,34.0,0.3,0.99788
6,10.5,0.53,0.48,52.0,0.41,0.9982
5,9.8,0.66,0.655,113.0,0.12,0.9966
6,10.2,0.63,0.59,62.0,0.31,0.9994
7,10.6,0.65,0.37,17.0,0.34,0.99683
6,14.0,0.75,0.38,60.0,0.01,0.99084
5,9.5,1.62,0.31,127.0,0.3,0.9965
7,11.2,0.83,0.31,28.0,0.35,0.99672
5,10.0,0.47,0.67,17.0,0.39,0.9976
6,14.0,0.79,0.34,63.0,0.0,0.9916
5,9.7,0.47,0.69,24.0,0.11,0.99578
4,9.6,0.46,0.73,24.0,0.0,0.99798
5,9.3,0.5,0.68,22.0,0.0,0.9969
6,11.4,0.49,0.67,48.0,0.08,0.9949
6,10.7,0.78,0.57,32.0,0.5,1.0006
5,9.4,0.53,0.885,145.0,0.27,0.9978
6,11.3,0.67,0.67,20.0,0.15,0.9954
7,12.1,0.64,0.3,24.0,0.49,0.99498
5,9.8,0.58,0.82,48.0,0.02,0.9952
6,10.2,0.58,0.49,30.0,0.1,0.9959
7,10.5,0.77,0.4,47.0,0.32,0.9991
5,10.1,0.62,0.32,70.0,0.23,0.99588
7,11.4,0.68,0.29,43.0,0.75,0.9986
6,10.7,0.58,0.62,37.0,0.33,0.9972
4,11.0,0.67,0.53,31.0,0.09,0.9968
6,9.3,0.82,0.26,19.0,0.44,0.9986
5,9.8,0.66,0.64,31.0,0.21,0.99689
5,9.6,0.5,0.43,32.0,0.39,0.9986
6,11.5,0.59,0.54,16.0,0.09,0.99479
5,10.5,0.66,0.41,42.0,0.64,0.9986
6,11.2,0.8,0.37,15.0,0.32,0.99576
6,11.6,0.66,0.39,21.0,0.42,0.99526
6,10.2,0.61,0.61,50.0,0.3,0.9972
6,12.8,0.66,0.27,33.0,0.24,0.9956
5,9.3,0.52,0.52,38.0,0.11,0.9955
5,9.5,0.59,0.775,86.0,0.42,0.9959
5,11.0,0.53,0.42,20.0,0.48,0.99852
6,8.4,0.79,0.31,15.0,0.74,1.0008
5,9.3,0.73,0.665,19.0,0.0,0.9974
6,10.5,1.18,0.54,105.0,0.3,0.99725
6,12.5,0.61,0.645,28.0,0.0,0.99444
5,9.7,0.55,0.84,33.0,0.0,0.9954
5,9.5,0.55,0.65,40.0,0.1,0.99803
5,10.6,0.68,0.28,22.0,0.6,0.99828
5,9.7,0.7,0.27,16.0,0.41,0.998
5,10.1,0.44,0.32,32.0,0.25,0.99464
6,9.5,0.78,0.55,28.0,0.24,0.9983
5,10.2,0.59,0.58,55.0,0.3,0.9968
6,10.4,0.62,0.65,15.0,0.02,0.99498
5,10.3,1.2,0.66,23.0,0.22,0.9968
6,10.0,0.58,0.71,31.0,0.0,0.99635
6,9.9,0.51,0.45,28.0,0.15,0.99609
6,11.4,0.71,0.54,52.0,0.42,0.997
6,11.9,0.44,0.96,16.0,0.0,0.9936
5,10.3,0.54,0.43,45.0,0.29,0.99603
6,11.5,0.68,0.76,16.0,0.29,0.9965
6,9.5,0.67,0.65,25.0,0.02,0.9972
5,10.9,0.48,1.33,12.0,0.0,0.9964
5,10.8,0.62,0.62,52.0,0.35,0.997
6,9.1,1.33,0.76,64.0,0.68,0.99652
5,9.5,0.57,0.53,139.0,0.24,0.99788
5,9.1,0.49,0.6,15.0,0.29,0.9988
5,9.4,0.62,0.56,104.0,0.23,0.9976
6,9.5,0.6,0.43,56.0,0.22,0.99633
7,9.8,1.36,0.28,29.0,0.54,0.9997
6,11.7,0.56,0.53,17.0,0.49,1.0002
6,10.0,0.56,0.53,31.0,0.04,0.9964
7,10.55,0.68,0.56,24.0,0.17,0.99514
6,12.8,0.62,0.47,44.0,0.02,0.9921
5,9.6,0.58,0.63,65.0,0.21,0.9988
6,11.4,0.58,0.44,38.0,0.0,0.99438
5,9.9,0.52,0.615,59.0,0.0,0.9943
5,9.5,0.64,0.43,116.0,0.49,0.9976
6,10.2,0.75,0.39,26.0,0.4,0.9984
7,11.2,0.74,0.33,22.0,0.63,0.9998
6,10.9,0.68,0.765,22.0,0.0,0.99619
7,11.0,0.9,0.24,24.0,0.47,0.9978
7,10.6,0.86,0.52,49.0,0.09,0.9976
5,9.5,0.51,0.39,101.0,0.54,1.0001
5,9.5,0.49,0.39,18.0,0.63,1.0004
5,10.4,0.67,0.21,23.0,0.52,0.99648
6,9.1,0.62,0.64,77.0,0.27,0.99747
5,9.6,0.54,0.66,59.0,0.15,0.99976
5,10.0,0.72,0.705,28.0,0.12,0.9994
8,13.4,0.69,0.62,19.0,0.67,0.9988
6,11.2,0.53,0.58,36.0,0.13,0.9944
5,10.1,0.57,1.025,84.0,0.43,0.9985
5,9.2,0.59,0.56,42.0,0.13,0.99629
5,9.5,0.48,0.69,94.0,0.22,0.9961
5,10.5,0.72,0.43,129.0,0.42,0.9973
6,9.9,1.95,0.49,136.0,0.28,0.9972
5,9.8,0.58,0.72,14.0,0.0,0.99627
6,10.4,0.64,0.46,54.0,0.2,0.9956
6,10.4,0.63,0.6,10.0,0.0,0.9977
6,11.5,0.63,0.74,16.0,0.03,0.99508
6,9.0,0.77,0.54,95.0,0.37,1.00369
6,12.7,0.68,0.47,47.0,0.49,1.0021
5,9.9,0.52,0.6,131.0,0.26,0.99622
5,9.9,0.53,0.735,124.0,0.02,0.9994
7,12.3,0.51,0.3,289.0,0.68,0.99316
6,10.1,0.6,0.36,16.0,0.25,0.9964
5,14.9,0.84,0.36,71.0,0.65,0.9976
5,10.5,0.47,1.18,41.0,0.21,0.99532
5,9.0,0.57,1.07,89.0,0.09,0.9962
6,9.4,0.59,0.34,58.0,0.37,0.9964
5,11.0,0.58,0.64,33.0,0.22,0.99612
6,10.6,0.6,0.46,34.0,0.24,0.9948
7,13.4,0.9,0.4,27.0,0.51,0.995
6,10.6,0.56,0.78,32.0,0.22,0.9988
6,9.3,0.6,0.4,24.0,0.51,0.9994
5,9.4,0.55,0.685,143.0,0.26,0.9978
7,12.0,0.66,0.35,35.0,0.49,1.0014
5,9.3,0.79,0.63,64.0,0.31,0.9969
5,8.5,0.65,0.38,90.0,0.38,0.99914
5,9.7,0.55,0.55,28.0,0.21,0.9964
5,9.2,1.17,0.78,66.0,0.51,0.99623
5,9.4,0.62,0.685,92.0,0.35,0.9963
7,10.8,1.02,0.24,21.0,0.46,0.9976
6,9.2,0.74,0.46,53.0,0.26,0.9981
6,10.1,0.97,0.3,27.0,0.6,0.9981
5,9.4,0.61,0.55,53.0,0.17,1.0004
6,10.6,0.72,0.27,25.0,0.6,0.99814
6,10.7,0.52,0.5,14.0,0.34,0.9987
5,9.7,0.55,0.55,28.0,0.21,0.9964
5,9.6,0.78,0.32,15.0,0.59,0.9994
7,12.1,0.59,0.48,10.0,0.53,0.99586
5,10.6,0.78,0.64,17.0,0.05,0.99496
5,11.4,0.57,0.6,19.0,0.49,0.9994
5,9.6,0.51,0.775,48.0,0.22,0.9976
6,10.9,0.61,0.6,37.0,0.01,0.99514
5,10.6,0.57,0.56,46.0,0.03,0.99522
7,12.3,0.56,0.84,48.0,0.03,0.9952
5,9.5,0.45,0.5,26.0,0.0,0.99448
6,10.3,0.82,0.39,20.0,0.49,0.9992
4,11.4,0.58,0.39,7.0,0.24,0.99462
6,9.9,0.96,0.66,23.0,0.0,0.9983
5,9.2,0.53,0.48,106.0,0.24,0.9982
6,12.6,0.56,0.31,36.0,0.32,0.99364
5,9.8,0.65,0.46,37.0,0.14,0.99732
5,9.2,0.86,0.53,12.0,0.12,0.99702
6,10.3,0.55,0.48,15.0,0.31,0.99693
5,9.8,0.66,0.62,108.0,0.09,0.9964
5,9.4,0.54,0.59,74.0,0.18,0.99738
7,11.1,0.89,0.33,37.0,0.45,0.99498
5,11.1,0.79,0.34,113.0,0.32,0.9966
6,10.3,0.64,0.55,48.0,0.23,0.9994
6,10.2,0.6,0.69,52.0,0.08,0.99608
6,9.9,0.7,0.23,8.0,0.57,0.9981
5,9.6,0.63,0.42,10.0,0.57,0.9971
6,10.5,0.9,0.49,14.0,0.2,0.9968
6,9.7,0.59,0.55,35.0,0.13,0.9959
5,9.4,0.62,0.5,127.0,0.35,0.9976
4,9.1,1.12,0.625,119.0,0.2,0.9972
6,10.9,0.83,0.39,50.0,0.4,0.99478
5,9.5,0.5,0.755,84.0,0.15,0.99593
6,10.1,0.97,0.18,23.0,0.51,0.9996
4,9.9,0.86,0.47,51.0,0.44,0.99836
6,10.8,0.62,0.57,35.0,0.02,0.99557
6,10.0,0.73,0.43,45.0,0.24,0.998
7,12.4,0.62,0.28,12.0,0.48,0.99408
6,9.8,0.58,0.28,60.0,0.56,0.998
5,10.5,0.73,0.61,25.0,0.01,0.99746
6,9.5,0.73,0.51,28.0,0.18,0.99768
5,9.4,0.6,0.735,28.0,0.0,0.99765
7,12.5,0.59,0.31,35.0,0.34,0.99356
7,11.7,0.85,0.3,24.0,0.41,0.99523
6,12.0,0.56,0.34,44.0,0.27,0.99384
6,11.9,0.6,0.7,27.0,0.15,0.99622
6,10.9,0.75,0.635,60.0,0.1,0.99638
5,9.8,0.6,0.47,110.0,0.49,0.9982
5,10.1,0.59,0.55,40.0,0.15,0.9961
7,9.9,0.76,0.41,41.0,0.54,0.99735
7,10.0,0.73,0.615,42.0,0.66,1.0022
5,9.5,0.54,0.52,140.0,0.26,0.9964
5,9.4,0.61,0.54,66.0,0.13,0.99785
6,11.6,0.82,0.55,35.0,0.15,0.99314
6,9.8,0.93,0.31,28.0,0.51,0.9982
5,10.0,0.52,0.68,94.0,0.02,0.9944
6,10.9,0.71,0.38,24.0,0.56,0.99925
6,9.7,0.68,0.37,82.0,0.43,0.99708
6,11.3,0.6,0.69,21.0,0.07,0.99572
5,9.5,0.51,0.37,26.0,0.52,0.998
6,9.7,0.53,0.59,94.0,0.02,0.99744
7,13.0,0.6,0.37,38.0,0.76,1.0004
5,9.4,0.52,0.62,54.0,0.32,0.9966
6,11.7,0.66,0.48,20.0,0.64,0.997
6,9.7,0.81,0.4,49.0,0.48,0.998
6,12.7,0.49,0.865,58.0,0.03,0.995
5,9.4,0.84,0.58,18.0,0.0,0.9966
5,9.9,0.48,0.8,31.0,0.11,0.9979
5,10.8,0.56,0.6,13.0,0.0,0.99639
4,10.5,0.48,1.02,85.0,0.04,0.9938
6,11.5,0.72,0.5,51.0,0.42,0.9982
5,10.7,0.56,0.775,23.0,0.0,0.9965
6,9.2,0.69,0.49,50.0,0.2,1.0015
6,10.033,0.65,0.475,28.0,0.4,0.99704
7,10.5,0.75,0.28,103.0,0.56,0.9969
6,11.4,0.73,0.32,8.0,0.56,0.99534
5,11.8,0.69,0.31,39.0,0.36,0.99562
5,9.9,0.56,0.88,20.0,0.04,0.99636
5,9.1,0.57,0.42,90.0,0.25,0.99784
6,11.8,0.57,0.715,43.0,0.01,0.99371
7,12.1,0.69,0.34,9.0,0.48,0.99458
5,9.9,0.51,0.69,141.0,0.21,0.9962
6,11.5,0.6,0.76,52.0,0.0,0.99379
5,9.3,0.65,0.33,45.0,0.23,0.99625
6,10.4,0.64,0.65,65.0,0.37,1.0026
8,11.4,0.7,0.36,24.0,0.3,0.99419
6,11.0,1.11,0.45,47.0,0.5,1.0003
6,10.9,0.78,0.49,14.0,0.36,0.99702
5,9.7,0.55,0.655,25.0,0.16,0.99606
5,12.6,0.52,0.7,16.0,0.08,0.99334
6,10.0,0.64,0.53,14.0,0.0,0.99593
5,9.7,0.59,0.54,147.0,0.26,0.99636
5,10.4,0.61,0.5,23.0,0.14,0.99636
5,11.0,0.58,0.37,8.0,0.65,0.99817
5,9.8,0.53,0.6,38.0,0.25,0.99616
6,9.55,0.65,0.685,12.0,0.1,0.99745
6,9.7,0.6,0.69,10.0,0.0,0.99636
6,12.5,0.59,0.74,46.0,0.0,0.99258
6,12.8,0.4,0.75,18.0,0.01,0.99242
5,9.3,0.64,0.735,77.0,0.16,0.9966
7,12.3,0.64,0.42,55.0,0.27,0.99471
7,12.2,0.84,0.695,21.0,0.53,0.9992
6,9.6,0.65,0.47,38.0,0.08,0.99553
5,9.8,0.65,0.76,54.0,0.04,0.997
5,9.4,0.46,0.6,59.0,0.06,0.9964
6,10.4,0.64,0.46,54.0,0.2,0.9956
6,9.5,0.73,0.51,28.0,0.18,0.99768
7,12.0,0.7,0.35,24.0,0.4,0.99549
5,9.7,0.8,0.65,31.0,0.02,0.9993
5,9.3,1.07,0.725,134.0,0.24,1.0014
5,9.5,0.5,0.965,22.0,0.1,0.9963
5,9.6,0.54,0.26,49.0,0.45,0.9972
6,11.5,0.77,0.32,44.0,0.52,0.99734
5,9.3,0.6,0.62,50.0,0.18,0.9951
6,10.9,0.51,0.295,21.0,0.4,0.99556
6,9.0,0.65,0.52,38.0,0.25,0.9984
7,12.7,0.77,0.33,20.0,0.42,0.99426
5,9.4,0.54,0.38,16.0,0.55,1.0006
6,12.6,0.66,0.58,40.0,0.02,0.99387
5,9.3,0.57,0.595,109.0,0.41,0.9998
6,9.9,0.91,0.45,50.0,0.31,0.9982
6,9.6,0.55,0.645,18.0,0.0,0.9986
6,12.8,0.4,0.75,18.0,0.01,0.99242
5,10.7,0.58,0.705,15.0,0.07,0.9962
5,10.5,0.71,0.43,128.0,0.42,0.9973
5,9.2,0.56,0.45,15.0,0.2,0.9958
7,11.8,0.49,0.41,14.0,0.45,0.99702
5,9.9,0.52,0.83,70.0,0.37,0.9981
4,9.1,0.33,0.885,8.0,0.03,0.9972
6,11.067,0.68,0.67,92.0,0.02,0.99566
7,12.0,0.99,0.44,24.0,0.58,0.99745
5,9.8,0.5,0.74,45.0,0.08,0.99576
5,9.2,0.51,0.575,65.0,0.22,0.9967
7,10.0,0.64,0.43,52.0,0.4,0.99834
6,10.9,0.68,0.5,24.0,0.55,1.00012
6,11.0,0.72,0.36,79.0,0.32,0.9964
5,9.7,0.57,0.6,71.0,0.5,0.9997
7,11.8,0.71,0.32,19.0,0.42,0.99434
6,9.8,0.64,0.49,26.0,0.19,0.99547
6,10.7,0.93,0.51,54.0,0.0,0.995
6,10.7,0.77,0.825,13.0,0.24,0.9972
7,11.8,0.76,0.18,88.0,0.51,0.99524
5,9.6,0.54,0.72,32.0,0.01,0.99668
6,10.8,0.77,0.5,17.0,0.36,0.99704
6,9.5,0.59,0.4,66.0,0.29,0.9971
5,9.5,0.45,0.63,77.5,0.0,0.99558
5,10.6,0.61,0.32,47.0,0.65,0.9996
6,10.9,0.79,0.26,77.0,0.26,0.9951
5,9.6,0.64,0.49,31.0,0.26,0.9966
4,9.7,0.54,0.765,14.0,0.04,0.998
6,9.9,0.55,1.04,29.0,0.05,0.9959
7,12.3,0.51,0.3,278.0,0.68,0.99316
6,11.2,0.66,0.45,22.0,0.73,0.9986
6,12.3,0.74,0.42,16.0,0.46,0.99649
6,10.5,0.63,0.6,41.0,0.49,0.9994
6,9.2,0.7,0.315,15.0,0.54,0.9987
7,11.5,0.57,0.3,9.0,0.39,0.9948
6,11.3,0.57,0.42,148.0,0.27,0.9948
5,9.4,1.26,0.41,45.0,0.76,0.9968
5,10.2,1.18,0.89,60.0,0.3,0.99786
5,9.4,0.5,0.36,70.0,0.3,0.99693
6,9.3,0.57,0.6,86.0,0.18,0.9968
5,10.1,0.62,0.69,91.0,0.32,0.9979
5,11.6,0.52,0.795,52.0,0.0,0.99378
6,9.4,0.6,0.57,45.0,0.0,0.99676
6,9.3,0.65,0.59,58.0,0.0,1.0002
5,10.6,0.68,0.28,22.0,0.6,0.99828
5,9.2,0.54,0.24,57.0,0.54,0.9983
5,9.0,0.69,0.575,24.0,0.61,1.0
5,10.8,0.51,0.885,12.0,0.0,0.99551
6,12.1,0.61,0.53,29.0,0.14,0.99323
7,11.7,0.39,0.28,100.0,0.28,0.99064
5,9.2,0.44,0.79,68.0,0.21,0.9955
6,9.8,0.62,0.37,49.0,0.25,0.9974
6,9.8,0.58,0.63,88.0,0.03,0.99745
6,12.4,0.67,0.395,28.0,0.13,0.99362
5,9.5,0.45,0.5,26.0,0.0,0.99448
5,9.4,0.57,0.63,33.0,0.24,0.9974
7,12.4,0.8,0.25,41.0,0.37,0.99439
5,9.3,0.62,0.56,18.0,0.14,0.99592
4,9.3,0.51,0.61,46.0,0.3,0.9976
8,11.0,0.65,0.35,16.0,0.53,0.9972
6,9.0,0.55,1.0,37.0,0.09,0.99685
5,13.0,0.77,0.53,77.0,0.79,1.0018
6,10.2,0.56,0.67,62.0,0.3,0.9958
