quality,alcohol,sulphates,volatile acidity,total sulfur dioxide,citric acid
5,9.5,0.6,0.61,10.0,0.04
6,9.233,0.72,0.84,65.0,0.21
5,10.5,0.48,0.58,124.0,0.12
6,9.1,1.06,0.48,32.0,0.68
6,11.9,0.74,0.6,14.0,0.49
8,13.1,0.72,0.54,17.0,0.34
5,9.5,0.59,0.61,42.0,0.14
5,9.1,0.57,0.5,73.0,0.47
6,10.5,0.57,0.41,43.0,0.14
5,9.7,0.57,0.45,75.0,0.49
7,12.0,0.85,0.44,76.0,0.73
6,11.4,0.85,0.31,60.0,0.41
6,10.8,0.49,0.725,17.0,0.09
6,12.0,0.63,0.49,25.0,0.27
5,11.4,0.58,0.54,13.0,0.04
6,10.1,0.57,1.02,88.0,0.43
5,9.5,0.63,0.28,19.0,0.54
5,10.5,0.54,0.51,9.0,0.09
5,9.8,0.46,0.53,19.0,0.01
6,12.0,0.78,0.31,26.0,0.29
6,10.5,0.67,0.36,12.0,0.34
6,10.9,0.6,0.28,9.0,0.46
5,9.5,0.48,0.5,102.0,0.17
7,12.1,0.77,0.34,37.0,0.33
6,10.2,0.49,0.45,29.0,0.23
5,9.8,0.57,0.735,54.0,0.05
7,12.3,0.55,0.28,12.0,0.45
6,10.4,0.76,0.38,20.0,0.51
5,9.4,0.55,0.765,42.0,0.22
6,10.3,0.6,0.57,36.0,0.05
6,12.9,0.53,0.69,12.0,0.0
6,10.0,0.63,0.56,35.0,0.03
6,12.0,0.93,0.49,15.0,0.67
5,10.5,0.61,0.43,34.0,0.3
6,10.5,0.53,0.48,52.0,0.41
5,9.8,0.66,0.655,113.0,0.12
6,10.2,0.63,0.59,62.0,0.31
7,10.6,0.65,0.37,17.0,0.34
6,14.0,0.75,0.38,60.0,0.01
5,9.5,1.62,0.31,127.0,0.3
7,11.2,0.83,0.31,28.0,0.35
5,10.0,0.47,0.67,17.0,0.39
6,14.0,0.79,0.34,63.0,0.0
5,9.7,0.47,0.69,24.0,0.11
4,9.6,0.46,0.73,24.0,0.0
5,9.3,0.5,0.68,22.0,0.0
6,11.4,0.49,0.67,48.0,0.08
6,10.7,0.78,0.57,32.0,0.5
5,9.4,0.53,0.885,145.0,0.27
6,11.3,0.67,0.67,20.0,0.15
7,12.1,0.64,0.3,24.0,0.49
5,9.8,0.58,0.82,48.0,0.02
6,10.2,0.58,0.49,30.0,0.1
7,10.5,0.77,0.4,47.0,0.32
5,10.1,0.62,0.32,70.0,0.23
7,11.4,0.68,0.29,43.0,0.75
6,10.7,0.58,0.62,37.0,0.33
4,11.0,0.67,0.53,31.0,0.09
6,9.3,0.82,0.26,19.0,0.44
5,9.8,0.66,0.64,31.0,0.21
5,9.6,0.5,0.43,32.0,0.39
6,11.5,0.59,0.54,16.0,0.09
5,10.5,0.66,0.41,42.0,0.64
6,11.2,0.8,0.37,15.0,0.32
6,11.6,0.66,0.39,21.0,0.42
6,10.2,0.61,0.61,50.0,0.3
6,12.8,0.66,0.27,33.0,0.24
5,9.3,0.52,0.52,38.0,0.11
5,9.5,0.59,0.775,86.0,0.42
5,11.0,0.53,0.42,20.0,0.48
6,8.4,0.79,0.31,15.0,0.74
5,9.3,0.73,0.665,19.0,0.0
6,10.5,1.18,0.54,105.0,0.3
6,12.5,0.61,0.645,28.0,0.0
5,9.7,0.55,0.84,33.0,0.0
5,9.5,0.55,0.65,40.0,0.1
5,10.6,0.68,0.28,22.0,0.6
5,9.7,0.7,0.27,16.0,0.41
5,10.1,0.44,0.32,32.0,0.25
6,9.5,0.78,0.55,28.0,0.24
5,10.2,0.59,0.58,55.0,0.3
6,10.4,0.62,0.65,15.0,0.02
5,10.3,1.2,0.66,23.0,0.22
6,10.0,0.58,0.71,31.0,0.0
6,9.9,0.51,0.45,28.0,0.15
6,11.4,0.71,0.54,52.0,0.42
6,11.9,0.44,0.96,16.0,0.0
5,10.3,0.54,0.43,45.0,0.29
6,11.5,0.68,0.76,16.0,0.29
6,9.5,0.67,0.65,25.0,0.02
5,10.9,0.48,1.33,12.0,0.0
5,10.8,0.62,0.62,52.0,0.35
6,9.1,1.33,0.76,64.0,0.68
5,9.5,0.57,0.53,139.0,0.24
5,9.1,0.49,0.6,15.0,0.29
5,9.4,0.62,0.56,104.0,0.23
6,9.5,0.6,0.43,56.0,0.22
7,9.8,1.36,0.28,29.0,0.54
6,11.7,0.56,0.53,17.0,0.49
6,10.0,0.56,0.53,31.0,0.04
7,10.55,0.68,0.56,24.0,0.17
6,12.8,0.62,0.47,44.0,0.02
5,9.6,0.58,0.63,65.0,0.21
6,11.4,0.58,0.44,38.0,0.0
5,9.9,0.52,0.615,59.0,0.0
5,9.5,0.64,0.43,116.0,0.49
6,10.2,0.75,0.39,26.0,0.4
7,11.2,0.74,0.33,22.0,0.63
6,10.9,0.68,0.765,22.0,0.0
7,11.0,0.9,0.24,24.0,0.47
7,10.6,0.86,0.52,49.0,0.09
5,9.5,0.51,0.39,101.0,0.54
5,9.5,0.49,0.39,18.0,0.63
5,10.4,0.67,0.21,23.0,0.52
6,9.1,0.62,0.64,77.0,0.27
5,9.6,0.54,0.66,59.0,0.15
5,10.0,0.72,0.705,28.0,0.12
8,13.4,0.69,0.62,19.0,0.67
6,11.2,0.53,0.58,36.0,0.13
5,10.1,0.57,1.025,84.0,0.43
5,9.2,0.59,0.56,42.0,0.13
5,9.5,0.48,0.69,94.0,0.22
5,10.5,0.72,0.43,129.0,0.42
6,9.9,1.95,0.49,136.0,0.28
5,9.8,0.58,0.72,14.0,0.0
6,10.4,0.64,0.46,54.0,0.2
6,10.4,0.63,0.6,10.0,0.0
6,11.5,0.63,0.74,16.0,0.03
6,9.0,0.77,0.54,95.0,0.37
6,12.7,0.68,0.47,47.0,0.49
5,9.9,0.52,0.6,131.0,0.26
5,9.9,0.53,0.735,124.0,0.02
7,12.3,0.51,0.3,289.0,0.68
6,10.1,0.6,0.36,16.0,0.25
5,14.9,0.84,0.36,71.0,0.65
5,10.5,0.47,1.18,41.0,0.21
5,9.0,0.57,1.07,89.0,0.09
6,9.4,0.59,0.34,58.0,0.37
5,11.0,0.58,0.64,33.0,0.22
6,10.6,0.6,0.46,34.0,0.24
7,13.4,0.9,0.4,27.0,0.51
6,10.6,0.56,0.78,32.0,0.22
6,9.3,0.6,0.4,24.0,0.51
5,9.4,0.55,0.685,143.0,0.26
7,12.0,0.66,0.35,35.0,0.49
5,9.3,0.79,0.63,64.0,0.31
5,8.5,0.65,0.38,90.0,0.38
5,9.7,0.55,0.55,28.0,0.21
5,9.2,1.17,0.78,66.0,0.51
5,9.4,0.62,0.685,92.0,0.35
7,10.8,1.02,0.24,21.0,0.46
6,9.2,0.74,0.46,53.0,0.26
6,10.1,0.97,0.3,27.0,0.6
5,9.4,0.61,0.55,53.0,0.17
6,10.6,0.72,0.27,25.0,0.6
6,10.7,0.52,0.5,14.0,0.34
5,9.7,0.55,0.55,28.0,0.21
5,9.6,0.78,0.32,15.0,0.59
7,12.1,0.59,0.48,10.0,0.53
5,10.6,0.78,0.64,17.0,0.05
5,11.4,0.57,0.6,19.0,0.49
5,9.6,0.51,0.775,48.0,0.22
6,10.9,0.61,0.6,37.0,0.01
5,10.6,0.57,0.56,46.0,0.03
7,12.3,0.56,0.84,48.0,0.03
5,9.5,0.45,0.5,26.0,0.0
6,10.3,0.82,0.39,20.0,0.49
4,11.4,0.58,0.39,7.0,0.24
6,9.9,0.96,0.66,23.0,0.0
5,9.2,0.53,0.48,106.0,0.24
6,12.6,0.56,0.31,36.0,0.32
5,9.8,0.65,0.46,37.0,0.14
5,9.2,0.86,0.53,12.0,0.12
6,10.3,0.55,0.48,15.0,0.31
5,9.8,0.66,0.62,108.0,0.09
5,9.4,0.54,0.59,74.0,0.18
7,11.1,0.89,0.33,37.0,0.45
5,11.1,0.79,0.34,113.0,0.32
6,10.3,0.64,0.55,48.0,0.23
6,10.2,0.6,0.69,52.0,0.08
6,9.9,0.7,0.23,8.0,0.57
5,9.6,0.63,0.42,10.0,0.57
6,10.5,0.9,0.49,14.0,0.2
6,9.7,0.59,0.55,35.0,0.13
5,9.4,0.62,0.5,127.0,0.35
4,9.1,1.12,0.625,119.0,0.2
6,10.9,0.83,0.39,50.0,0.4
5,9.5,0.5,0.755,84.0,0.15
6,10.1,0.97,0.18,23.0,0.51
4,9.9,0.86,0.47,51.0,0.44
6,10.8,0.62,0.57,35.0,0.02
6,10.0,0.73,0.43,45.0,0.24
7,12.4,0.62,0.28,12.0,0.48
6,9.8,0.58,0.28,60.0,0.56
5,10.5,0.73,0.61,25.0,0.01
6,9.5,0.73,0.51,28.0,0.18
5,9.4,0.6,0.735,28.0,0.0
7,12.5,0.59,0.31,35.0,0.34
7,11.7,0.85,0.3,24.0,0.41
6,12.0,0.56,0.34,44.0,0.27
6,11.9,0.6,0.7,27.0,0.15
