volatile acidity,citric acid,total sulfur dioxide,alcohol,quality
0.61,0.04,10.0,9.5,5
0.84,0.21,65.0,9.233,6
0.58,0.12,124.0,10.5,5
0.48,0.68,32.0,9.1,6
0.6,0.49,14.0,11.9,6
0.54,0.34,17.0,13.1,8
0.61,0.14,42.0,9.5,5
0.5,0.47,73.0,9.1,5
0.41,0.14,43.0,10.5,6
0.45,0.49,75.0,9.7,5
0.44,0.73,76.0,12.0,7
0.31,0.41,60.0,11.4,6
0.725,0.09,17.0,10.8,6
0.49,0.27,25.0,12.0,6
0.54,0.04,13.0,11.4,5
1.02,0.43,88.0,10.1,6
0.28,0.54,19.0,9.5,5
0.51,0.09,9.0,10.5,5
0.53,0.01,19.0,9.8,5
0.31,0.29,26.0,12.0,6
0.36,0.34,12.0,10.5,6
0.28,0.46,9.0,10.9,6
0.5,0.17,102.0,9.5,5
0.34,0.33,37.0,12.1,7
0.45,0.23,29.0,10.2,6
0.735,0.05,54.0,9.8,5
0.28,0.45,12.0,12.3,7
0.38,0.51,20.0,10.4,6
0.765,0.22,42.0,9.4,5
0.57,0.05,36.0,10.3,6
0.69,0.0,12.0,12.9,6
0.56,0.03,35.0,10.0,6
0.49,0.67,15.0,12.0,6
0.43,0.3,34.0,10.5,5
0.48,0.41,52.0,10.5,6
0.655,0.12,113.0,9.8,5
0.59,0.31,62.0,10.2,6
0.37,0.34,17.0,10.6,7
0.38,0.01,60.0,14.0,6
0.31,0.3,127.0,9.5,5
0.31,0.35,28.0,11.2,7
0.67,0.39,17.0,10.0,5
0.34,0.0,63.0,14.0,6
0.69,0.11,24.0,9.7,5
0.73,0.0,24.0,9.6,4
0.68,0.0,22.0,9.3,5
0.67,0.08,48.0,11.4,6
0.57,0.5,32.0,10.7,6
0.885,0.27,145.0,9.4,5
0.67,0.15,20.0,11.3,6
0.3,0.49,24.0,12.1,7
0.82,0.02,48.0,9.8,5
0.49,0.1,30.0,10.2,6
0.4,0.32,47.0,10.5,7
0.32,0.23,70.0,10.1,5
0.29,0.75,43.0,11.4,7
0.62,0.33,37.0,10.7,6
0.53,0.09,31.0,11.0,4
0.26,0.44,19.0,9.3,6
0.64,0.21,31.0,9.8,5
0.43,0.39,32.0,9.6,5
0.54,0.09,16.0,11.5,6
0.41,0.64,42.0,10.5,5
0.37,0.32,15.0,11.2,6
0.39,0.42,21.0,11.6,6
0.61,0.3,50.0,10.2,6
0.27,0.24,33.0,12.8,6
0.52,0.11,38.0,9.3,5
0.775,0.42,86.0,9.5,5
0.42,0.48,20.0,11.0,5
0.31,0.74,15.0,8.4,6
0.665,0.0,19.0,9.3,5
0.54,0.3,105.0,10.5,6
0.645,0.0,28.0,12.5,6
0.84,0.0,33.0,9.7,5
0.65,0.1,40.0,9.5,5
0.28,0.6,22.0,10.6,5
0.27,0.41,16.0,9.7,5
0.32,0.25,32.0,10.1,5
0.55,0.24,28.0,9.5,6
0.58,0.3,55.0,10.2,5
0.65,0.02,15.0,10.4,6
0.66,0.22,23.0,10.3,5
0.71,0.0,31.0,10.0,6
0.45,0.15,28.0,9.9,6
0.54,0.42,52.0,11.4,6
0.96,0.0,16.0,11.9,6
0.43,0.29,45.0,10.3,5
0.76,0.29,16.0,11.5,6
0.65,0.02,25.0,9.5,6
